,id,country,province,winery,variety,points,description
249845,18944,Italy,Southern Italy,Di Majo Norante,Red Blend,91,soft plush blend montepulciano aglianico beautiful intensity long lasting aromas blackberry maraschino chocolate exotic spice leather bright touch mint licorice
42531,61630,Spain,Catalonia,Marco Abella,Red Blend,91,hard crusty first impression smoky leathery meaty aromas wild herbs dark berry feels racy ultraslick cherry plum mineral hits pushing buttons hard often long
109876,178975,US,California,Carrefour,Cabernet Sauvignon,87,thick jammy sweet tasted juvenile winter blackberry cherry filling chocolate licorice pepper might develop harmony
57163,76262,US,California,Richard Partridge,Cabernet Sauvignon,87,blackberry cherry mocha sweet toasty mark grown helena soft flashy instantly appealing
195468,214567,US,Washington,Tildio,Sauvignon Blanc,87,lightly scented riesling like petrol pungent grassy sauvignon blanc offers crisply focused celery green berry spring herb
15878,265878,US,California,Talus,Merlot,83,soft upfront cherry berry smooth perfect match lasagna hamburgers
38638,57737,US,California,Tolosa,Pinot Noir,91,baked blackberries nutmeg star anise aromas dense full overly powerful bottling fairly thick soft body textural grip showing plum skins graphite sandalwood finishing eucalyptus kick
75156,94255,US,Colorado,Two Rivers,Syrah,84,warm toasted wood vanilla spice cheerful cherry laden colorado syrah green stalky vein runs throughout overall drinking forward sprinkled mocha chocolate
116562,185661,Germany,Mosel-Saar-Ruwer,Dr. Loosen,Riesling,90,sweet auslese sugars balanced crisp acids impart backbone form solid spine opulent superripe pineapple honeyed citrus suspended finishes verve flourish crushed stone minerality
244668,13767,US,California,Michel-Schlumberger,Merlot,83,blended cabernet sauvignon merlot floral lacking palate bitter herbal character develops toward
104529,173628,France,Bordeaux,Château Haut Bages Libéral,Bordeaux-style Red Blend,89,dark style often case hard tough edge austere mere background potential slowly
113925,183024,US,California,Laraneta,Red Blend,85,overripe pruney raisiny aromas past find tannic essential blackberries currants bordeaux blend based merlot
230234,249333,France,Burgundy,Collovray et Terrier,Chardonnay,91,spicy toasty tropically texture dense important dominant delicious maturing
14969,264969,France,Bordeaux,Château Siran,Bordeaux-style Red Blend,85,disappointment tart stalky light edge green suggests underripe developing fast
242306,11405,US,California,Demetria,Pinot Noir,91,bottling pleasantly earthy rustic composting rose petal forest floor snappy cranberry iron tinged aromas light body compelling tannic grip pomegranate white pepper proving quite delicate focused
193514,212613,US,Oregon,Patton Valley,Pinot Noir,90,oldest block estate vineyard driven pinot crisp lively mixing bright berry sandalwood tamed emphasis clearly purity
16345,266345,US,California,Carr,Pinot Noir,87,soft heavy pinot noir forward raspberries cherries vanilla cedar violets cocoa dust orange zest beef stew
222751,241850,New Zealand,Marlborough,Mount Cass,Sauvignon Blanc,87,bits boxwood sweet layers green harmonious balanced effort marlborough particularly intense concentrated rendition sauvignon blanc imported imports
41036,60135,US,California,The White Knight,Sauvignon Blanc,87,unusually bright gold color pineapple honey aromas lively lemon grapefruit shows personality effect refreshing fruity wimpy pair different salads appetizers seafood
255065,24164,US,Washington,Basel Cellars,Cabernet Sauvignon,87,aromas cherry meat herb pencil lead followed full pulls
3582,253582,US,California,Santa Barbara Winery,Sauvignon Blanc,90,beautiful sauvignon blanc shows warmish santa barbara county valley natural home variety crisp creamy texture minerally interestingly citrus fruits melons pears touch smoky
251839,20938,US,California,Folkway,Cabernet Sauvignon,92,dramatically layered currant licorice turn raisiny ripeness flashy slowly mellow
125246,194345,US,California,Silver Mountain,Pinot Noir,84,overtly sweet wines like super fruity cherries raspberries despite scour feels unbalanced
125168,194267,US,Washington,Rulo,Chardonnay,92,sundance vineyard beautifully executed character intensity brilliant bright acids natural citrus spectrum lime pineapple great persistence
155215,124314,US,California,Chimney Rock,Cabernet Sauvignon,93,estate grown northernmost section winery warmer steeper puckering specks compelling minerality stony gravel like underbelly almost chalky quality accented crisp plum cherry brawler cellar
256242,25341,Italy,Tuscany,Marchesi Antinori,Red Blend,94,landmark italian continues best tuscany faithfully quality obvious thanks chocolate cherry spice wrapped tight within lush soft texture close velvety long
44873,63972,New Zealand,Martinborough,Nga Waka,Pinot Noir,85,high toned cola baking spice revealed vigorous swirling initially tightly wound palate balanced lick fairly prominent
